Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
8912,iP12P-EC,iPhone 12 Pro,,outofstock,no,,variable,
8961,iPXS-EC,iPhone XS,,instock,no,,variable,
8981,iPXS-GD-64-C -R,64 GB Gold Bueno ,true,outofstock,no,,product-variant,8961
8982,iPXS-GD-64-B -R,64 GB Gold Muy bueno ,true,outofstock,no,,product-variant,8961
8983,iPXS-GD-64-A -R,64 GB Gold Como nuevo ,true,outofstock,no,,product-variant,8961
8984,iPXS-GD-64-A+ -R,64 GB Gold Premium ,true,outofstock,no,,product-variant,8961
8985,iPXS-SL-64-C -R,64 GB Silver Bueno ,true,outofstock,no,,product-variant,8961
8986,iPXS-SL-64-B -R,64 GB Silver Muy bueno ,true,outofstock,no,,product-variant,8961
8987,iPXS-SL-64-A -R,64 GB Silver Como nuevo ,true,outofstock,no,,product-variant,8961
8988,iPXS-SL-64-A+ -R,64 GB Silver Premium ,true,outofstock,no,,product-variant,8961
8989,iPXS-SG-64-C -R,64 GB Space gray Bueno ,true,outofstock,no,,product-variant,8961
8990,iPXS-SG-64-B -R,64 GB Space gray Muy bueno ,true,onbackorder,yes,,product-variant,8961
8991,iPXS-SG-64-A -R,64 GB Space gray Como nuevo ,true,outofstock,no,,product-variant,8961
8992,iPXS-SG-64-A+ -R,64 GB Space gray Premium ,true,outofstock,no,,product-variant,8961
8993,iPXS-GD-256-C -R,256 GB Gold Bueno ,true,outofstock,no,,product-variant,8961
8994,iPXS-GD-256-B -R,256 GB Gold Muy bueno ,true,outofstock,no,,product-variant,8961
8995,iPXS-GD-256-A -R,256 GB Gold Como nuevo ,true,instock,yes,2,product-variant,8961
8996,iPXS-GD-256-A+ -R,256 GB Gold Premium ,true,outofstock,no,,product-variant,8961
8997,iPXS-SL-256-C -R,256 GB Silver Bueno ,true,outofstock,no,,product-variant,8961
8998,iPXS-SL-256-B -R,256 GB Silver Muy bueno ,true,outofstock,no,,product-variant,8961
8999,iPXS-SL-256-A -R,256 GB Silver Como nuevo ,true,onbackorder,yes,,product-variant,8961
9000,iPXS-SL-256-A+ -R,256 GB Silver Premium ,true,outofstock,no,,product-variant,8961
9001,iPXS-SG-256-C -R,256 GB Space gray Bueno ,true,outofstock,no,,product-variant,8961
9002,iPXS-SG-256-B -R,256 GB Space gray Muy bueno ,true,onbackorder,yes,,product-variant,8961
9003,iPXS-SG-256-A -R,256 GB Space gray Como nuevo ,true,onbackorder,yes,,product-variant,8961
9004,iPXS-SG-256-A+ -R,256 GB Space gray Premium ,true,outofstock,no,,product-variant,8961
9005,iPXS-GD-512-C -R,512 GB Gold Bueno ,true,outofstock,no,,product-variant,8961
9006,iPXS-GD-512-B -R,512 GB Gold Muy bueno ,true,outofstock,no,,product-variant,8961
9007,iPXS-GD-512-A -R,512 GB Gold Como nuevo ,true,onbackorder,yes,,product-variant,8961
9008,iPXS-GD-512-A+ -R,512 GB Gold Premium ,true,outofstock,no,,product-variant,8961
9009,iPXS-SL-512-C -R,512 GB Silver Bueno ,true,outofstock,no,,product-variant,8961
9010,iPXS-SL-512-B -R,512 GB Silver Muy bueno ,true,outofstock,no,,product-variant,8961
9011,iPXS-SL-512-A -R,512 GB Silver Como nuevo ,true,outofstock,no,,product-variant,8961
9012,iPXS-SL-512-A+ -R,512 GB Silver Premium ,true,outofstock,no,,product-variant,8961
9013,iPXS-SG-512-C -R,512 GB Space gray Bueno ,true,outofstock,no,,product-variant,8961
9014,iPXS-SG-512-B -R,512 GB Space gray Muy bueno ,true,outofstock,no,,product-variant,8961
9015,iPXS-SG-512-A -R,512 GB Space gray Como nuevo ,true,onbackorder,yes,,product-variant,8961
9016,iPXS-SG-512-A+ -R,512 GB Space gray Premium ,true,outofstock,no,,product-variant,8961
9017,iP11PM-EC,iPhone 11 Pro Max,,outofstock,no,,variable,
9018,iP11PRMX-GD-64-C -R,64 GB Gold Bueno ,,outofstock,no,,product-variant,9017
9019,iP11PRMX-GD-64-B -R,64 GB Gold Muy bueno ,,outofstock,no,,product-variant,9017
9020,iP11PRMX-GD-64-A -R,64 GB Gold Como nuevo ,,outofstock,no,,product-variant,9017
9021,iP11PRMX-GD-64-A+ -R,64 GB Gold Premium ,,outofstock,no,,product-variant,9017
9022,iP11PRMX-MG-64-C -R,64 GB Midnight Green Bueno ,,outofstock,no,,product-variant,9017
9023,iP11PRMX-MG-64-B -R,64 GB Midnight Green Muy bueno ,,outofstock,no,,product-variant,9017
9024,iP11PRMX-MG-64-A -R,64 GB Midnight Green Como nuevo ,,outofstock,no,,product-variant,9017
9025,iP11PRMX-MG-64-A+ -R,64 GB Midnight Green Premium ,,outofstock,no,,product-variant,9017
9026,iP11PRMX-SL-64-C -R,64 GB Silver Bueno ,,outofstock,no,,product-variant,9017
9027,iP11PRMX-SL-64-B -R,64 GB Silver Muy bueno ,,outofstock,no,,product-variant,9017
9028,iP11PRMX-SL-64-A -R,64 GB Silver Como nuevo ,,outofstock,no,,product-variant,9017
9029,iP11PRMX-SL-64-A+ -R,64 GB Silver Premium ,,outofstock,no,,product-variant,9017
9030,iP11PRMX-SG-64-C -R,64 GB Space gray Bueno ,,outofstock,no,,product-variant,9017
9031,iP11PRMX-SG-64-B -R,64 GB Space gray Muy bueno ,,outofstock,no,,product-variant,9017
9032,iP11PRMX-SG-64-A -R,64 GB Space gray Como nuevo ,,outofstock,no,,product-variant,9017
9033,iP11PRMX-SG-64-A+ -R,64 GB Space gray Premium ,,outofstock,no,,product-variant,9017
9034,iP11PRMX-GD-256-C -R,256 GB Gold Bueno ,,outofstock,no,,product-variant,9017
9035,iP11PRMX-GD-256-B -R,256 GB Gold Muy bueno ,,outofstock,no,,product-variant,9017
9036,iP11PRMX-GD-256-A -R,256 GB Gold Como nuevo ,,outofstock,no,,product-variant,9017
9037,iP11PRMX-GD-256-A+ -R,256 GB Gold Premium ,,outofstock,no,,product-variant,9017
9038,iP11PRMX-MG-256-C -R,256 GB Midnight Green Bueno ,,outofstock,no,,product-variant,9017
9039,iP11PRMX-MG-256-B -R,256 GB Midnight Green Muy bueno ,,outofstock,no,,product-variant,9017
9040,iP11PRMX-MG-256-A -R,256 GB Midnight Green Como nuevo ,,outofstock,no,,product-variant,9017
9041,iP11PRMX-MG-256-A+ -R,256 GB Midnight Green Premium ,,outofstock,no,,product-variant,9017
9042,iP11PRMX-SL-256-C -R,256 GB Silver Bueno ,,outofstock,no,,product-variant,9017
